,Tweet,Followers,Friends,Num_tweets,Verified,Listed_count,Location,Age,Length,Num_users,Num_author_replies,TOXICITY_x,Num_toxic_direct_replies,Num_toxic_nested_replies,Num_author_toxic_replies,Num_toxic_replies,Toxic
28458,1438322132002525194,518,401,45513,False,3,True,12,2,2,0,0.32074678,1.0,0.0,0.0,1.0,1
28459,1432152512161742851,278,266,12525,False,6,True,3,2,2,0,0.85333383,1.0,0.0,0.0,1.0,1
28460,1441884165658447875,1673,11,3945,False,18,True,1,9,5,1,0.23667802,0.0,0.0,0.0,0.0,0
28461,1435368536675954695,372,593,8694,False,0,True,3,2,2,0,0.0064715217,0.0,0.0,0.0,0.0,0
28462,1442671394555375616,3143,1558,23454,False,33,False,3,2,2,0,0.079250954,0.0,0.0,0.0,0.0,0
28463,1433223993239220231,46,63,105,False,0,False,0,4,4,0,0.04290464,0.0,0.0,0.0,0.0,0
28464,1435352396998320130,6683,453,37499,False,22,False,4,5,3,1,0.2330714,0.0,0.0,0.0,0.0,0
28465,1438304780166782978,18203,3206,51559,False,328,True,10,7,7,0,0.03828422,1.0,0.0,0.0,1.0,1
28466,1433570547623940096,166,314,1963,False,3,True,0,2,2,0,0.09438288,0.0,0.0,0.0,0.0,0
28467,1439823768357068801,277,69,6157,False,3,True,1,4,2,1,0.091913216,0.0,0.0,1.0,0.0,0
28468,1430709369575022594,806,219,17829,False,0,True,3,3,2,1,0.051563308,0.0,0.0,0.0,0.0,0
28469,1441519122811084800,72,28,2634,False,0,False,3,2,2,0,0.079250954,0.0,0.0,0.0,0.0,0
28470,1438717319350530049,142,98,696,False,0,False,0,3,2,1,0.11202335,0.0,0.0,0.0,0.0,0
28471,1440159652382068740,9241,418,16625,False,19,True,4,15,14,1,0.022728346,0.0,0.0,0.0,0.0,0
28472,1441168181175865344,2010,1367,32869,False,14,True,12,2,2,0,0.89241093,1.0,0.0,0.0,1.0,1
28473,1436149650294128654,24,125,1136,False,0,False,8,2,2,0,0.57271194,1.0,0.0,0.0,1.0,1
28474,1428879252141666313,1405,978,70252,False,1,True,4,2,2,0,0.08479069,1.0,0.0,0.0,1.0,1
28475,1433231727560822791,88,112,16734,False,0,False,11,3,2,1,0.028031485,0.0,0.0,0.0,0.0,0
28476,1437221529876680706,553,1213,21498,False,12,True,12,2,2,0,0.041915078,0.0,0.0,0.0,0.0,0
28477,1432543358371590145,14,262,432,False,0,True,4,2,2,0,0.24603334,0.0,0.0,0.0,0.0,0
28478,1438716899924135938,476,496,22630,False,3,True,8,5,3,1,0.20312156,0.0,0.0,0.0,0.0,0
28479,1436543906515243023,1644,1596,17596,False,0,True,10,3,2,1,0.687436,0.0,0.0,0.0,0.0,0
28480,1431812526065348611,103,125,380,False,0,True,0,6,2,3,0.15269235,0.0,0.0,0.0,0.0,0
28481,1442955386697359360,858,563,42975,False,8,True,12,4,2,1,0.45921504,0.0,1.0,0.0,1.0,1
28482,1432882346210914305,4192,959,100687,False,88,True,8,4,4,0,0.07212844,0.0,0.0,0.0,0.0,0
28483,1430032090142228484,13552,12017,45999,False,0,True,2,15,14,1,0.03875561,0.0,0.0,0.0,0.0,0
28484,1429660537756000256,2395,1352,43502,False,32,True,1,3,2,1,0.10089093,0.0,0.0,0.0,0.0,0
28485,1440519011968503816,264,989,1060,False,3,True,12,3,2,1,0.034748793,0.0,0.0,0.0,0.0,0
28486,1437962755672260616,510,660,27818,False,2,True,11,2,2,0,0.2359567,1.0,0.0,0.0,1.0,1
28487,1431058092406439940,146,269,16498,False,0,True,2,3,3,0,0.026499467,1.0,0.0,0.0,1.0,1
28488,1438293849802117126,2157,1011,193948,False,6,True,12,3,2,1,0.085582085,0.0,0.0,0.0,0.0,0
28489,1434335647389548545,38397,1281,19017,False,105,True,4,4,4,0,0.50503236,0.0,0.0,0.0,0.0,0
28490,1432870606362525706,40,103,173,False,1,False,1,4,2,2,0.32764325,0.0,0.0,0.0,0.0,0
28491,1426950044272500749,28946,55,5426,False,113,True,12,2,2,0,0.28087774,0.0,0.0,0.0,0.0,0
28492,1430034661246312448,1046,384,21296,False,10,True,1,6,3,2,0.23451406,0.0,0.0,0.0,0.0,0
28493,1437965490333179908,1300,1036,45846,False,4,True,10,3,2,1,0.2854937,0.0,0.0,0.0,0.0,0
28494,1440160147318317059,135,427,2196,False,1,False,6,3,2,1,0.014073989,0.0,0.0,0.0,0.0,0
28495,1441136908457762820,15127,1056,252460,False,24,True,10,2,2,0,0.103060275,0.0,0.0,0.0,0.0,0
28496,1436816624342818818,35,169,1212,False,1,True,1,2,2,0,0.019980038,0.0,0.0,0.0,0.0,0
28497,1441872811660881922,1161,3990,18008,False,4,True,12,3,2,1,0.08320791,0.0,0.0,0.0,0.0,0
28498,1436820348901675011,304,292,3042,False,8,False,10,4,2,1,0.15103401,0.0,0.0,0.0,0.0,0
28499,1438706426738847748,127,190,221459,False,2,True,9,7,2,3,0.056263726,0.0,0.0,0.0,0.0,0
28500,1436842335413972994,1635,82,208972,False,5,True,7,3,2,1,0.03015274,0.0,0.0,0.0,0.0,0
28501,1441872144791584770,1468,893,24457,False,9,True,2,4,3,1,0.021785567,1.0,0.0,0.0,1.0,1
28501,1441872144791584770,1468,893,24457,False,9,True,2,4,3,1,0.021785567,1.0,0.0,0.0,1.0,1
28502,1434928357058166788,2632,3587,78946,False,39,False,10,6,2,2,0.07291982,0.0,0.0,0.0,0.0,0
28503,1429670666970796033,87,73,768,False,1,True,1,4,2,1,0.05799546,0.0,0.0,0.0,0.0,0
28504,1430329164310228999,300,574,13542,False,2,True,1,10,4,3,0.31132057,2.0,0.0,0.0,2.0,1
28505,1436558062266028037,1249,733,6148,False,10,True,0,24,19,0,0.3308965,1.0,1.0,0.0,2.0,1
28506,1428106606831616003,891,4872,86438,False,7,True,4,3,2,1,0.4014846,0.0,0.0,1.0,0.0,0
28507,1431803105675522052,193,117,1391,False,0,False,1,9,3,2,0.20705862,0.0,2.0,0.0,2.0,1
28508,1438703150995697665,1493,600,6010,False,0,True,0,12,11,0,0.048099842,0.0,0.0,0.0,0.0,0
28509,1438710759459020800,21992,2334,1648,True,398,True,12,9,6,2,0.3666224,1.0,0.0,0.0,1.0,1
28510,1438325588138213380,4573,975,30332,False,22,True,6,3,2,1,0.041172907,0.0,0.0,0.0,0.0,0
28511,1442679661545275397,394,719,5039,False,6,True,0,4,3,0,0.11357342,0.0,0.0,0.0,0.0,0
28512,1434663004419788801,759,474,57611,False,8,True,1,3,3,0,0.31132057,0.0,0.0,0.0,0.0,0
28513,1433251193304793088,33614,1271,6065,False,46,True,9,5,4,0,0.74954444,0.0,0.0,0.0,0.0,0
28514,1430348793677942785,18555,3323,43158,False,320,True,12,16,11,1,0.4475325,1.0,0.0,1.0,1.0,1
28515,1432878919489839106,2765,2706,36886,False,0,True,4,4,2,1,0.165053,0.0,1.0,0.0,1.0,1
28516,1441495844419743746,157872,1477,21255,True,831,False,7,1,1,0,0.038519915,0.0,0.0,0.0,0.0,0
28517,1433592425117798408,833744,680,22665,True,3288,True,14,8,8,0,0.0665887,0.0,0.0,0.0,0.0,0
28518,1431052182632214539,3272,667,16088,False,12,True,0,6,5,0,0.07845957,1.0,0.0,0.0,1.0,1
